document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-13255,Agency Information Collection Activities; Office of Public Health Disease Reporting and Surveillance Forms,Notice,Notice of information collection; request for comment.,2026-07-01,,2026-08-31,Interior Department; National Park Service,"NPS-WASO-VRP-OPH-NPS0042582; PPWOVPADH0, PPMPRHS1Y.Y00000 (222); OMB Control Number 1024-0286",https://www.federalregister.gov/documents/2026/07/01/2026-13255/agency-information-collection-activities-office-of-public-health-disease-reporting-and-surveillance,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13255.pdf,True
2026-13253,"Safety Zone; Lake Michigan, Michigan City, IN",Rule,Temporary final rule.,2026-07-01,2026-07-04,,Homeland Security Department; Coast Guard,Docket Number USCG-2026-0553,https://www.federalregister.gov/documents/2026/07/01/2026-13253/safety-zone-lake-michigan-michigan-city-in,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13253.pdf,True
2026-13252,Secretary of Energy Advisory Board,Notice,Notice of open meeting.,2026-07-01,,,Energy Department,,https://www.federalregister.gov/documents/2026/07/01/2026-13252/secretary-of-energy-advisory-board,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13252.pdf,True
2026-13251,"Susan Harwood Training Grant Program, FY 2026; Availability of Funds and Funding Opportunity Announcements",Notice,Notice of availability of funds and funding opportunity announcements.,2026-07-01,,,Occupational Safety and Health Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13251/susan-harwood-training-grant-program-fy-2026-availability-of-funds-and-funding-opportunity,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13251.pdf,True
2026-13250,Modification of Living Organ Donation Reimbursement Program Eligibility Guidelines in Response To Honor Our Living Donors Act,Notice,Notice of proposed eligibility guideline modifications; request for comment.,2026-07-01,,2026-07-31,Health and Human Services Department; Health Resources and Services Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13250/modification-of-living-organ-donation-reimbursement-program-eligibility-guidelines-in-response-to,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13250.pdf,True
2026-13249,National Register of Historic Places; Notification of Pending Nominations and Related Actions,Notice,Notice.,2026-07-01,,2026-07-16,Interior Department; National Park Service,"NPS-WASO-NRNHL-DTS#-43002; PPWOCRADI0, PCU00RP14.R50000",https://www.federalregister.gov/documents/2026/07/01/2026-13249/national-register-of-historic-places-notification-of-pending-nominations-and-related-actions,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13249.pdf,True
2026-13248,International Education Programs and Fulbright-Hays Program; Recission of Regulations,Proposed Rule,Notice of proposed rulemaking.,2026-07-01,,2026-07-31,Education Department,Docket ID ED-2026-OPE-0991,https://www.federalregister.gov/documents/2026/07/01/2026-13248/international-education-programs-and-fulbright-hays-program-recission-of-regulations,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13248.pdf,True
2026-13247,National Register of Historic Places; Notification of Pending Nominations and Related Actions,Notice,Notice.,2026-07-01,,2026-07-16,Interior Department; National Park Service,"NPS-WASO-NRNHL-DTS#-43078; PPWOCRADI0, PCU00RP14.R50000",https://www.federalregister.gov/documents/2026/07/01/2026-13247/national-register-of-historic-places-notification-of-pending-nominations-and-related-actions,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13247.pdf,True
2026-13246,Information Collection Request to Office of Management and Budget; OMB Control Number: 1625-0112,Notice,Sixty-day notice requesting comments.,2026-07-01,,2026-08-31,Homeland Security Department; Coast Guard,Docket No. USCG-2025-0395,https://www.federalregister.gov/documents/2026/07/01/2026-13246/information-collection-request-to-office-of-management-and-budget-omb-control-number-1625-0112,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13246.pdf,True
2026-13245,Procedures for Implementing the National Environmental Policy Act,Rule,Interim final rule; request for comments.,2026-07-01,2026-08-17,2026-07-31,National Aeronautics and Space Administration,NASA Document Number-26-019; NASA Docket Number-NASA-2026-0100,https://www.federalregister.gov/documents/2026/07/01/2026-13245/procedures-for-implementing-the-national-environmental-policy-act,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13245.pdf,True
2026-13244,The Federal Demonstration Partnership; Phase VIII Notice,Notice,Notice.,2026-07-01,,,Health and Human Services Department; National Institutes of Health,,https://www.federalregister.gov/documents/2026/07/01/2026-13244/the-federal-demonstration-partnership-phase-viii-notice,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13244.pdf,True
2026-13243,Rural Health Innovation and Transformation Technical Assistance,Notice,Notice of supplemental funding.,2026-07-01,,,Health and Human Services Department; Health Resources and Services Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13243/rural-health-innovation-and-transformation-technical-assistance,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13243.pdf,True
2026-13242,30-Day Notice of Proposed Information Collection: Disclosure of Violations of the Arms Export Control Act,Notice,Notice of request for public comment and submission to OMB of proposed collection of information.,2026-07-01,,2026-07-31,State Department,Public Notice 13054,https://www.federalregister.gov/documents/2026/07/01/2026-13242/30-day-notice-of-proposed-information-collection-disclosure-of-violations-of-the-arms-export-control,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13242.pdf,True
2026-13241,Airworthiness Directives; The Boeing Company Airplanes,Rule,Final rule; request for comments.,2026-07-01,2026-07-16,2026-08-17,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-4660; Project Identifier AD-2026-00423-T; Amendment 39-23387; AD 2026-13-05,https://www.federalregister.gov/documents/2026/07/01/2026-13241/airworthiness-directives-the-boeing-company-airplanes,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13241.pdf,True
2026-13240,Sunshine Act Meetings,Notice,,2026-07-01,,,Legal Services Corporation,,https://www.federalregister.gov/documents/2026/07/01/2026-13240/sunshine-act-meetings,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13240.pdf,True
2026-13239,Data Reporting Requirements for Certain Event Contracts,Proposed Rule,Notice of proposed rulemaking.,2026-07-01,,2026-07-31,Commodity Futures Trading Commission,,https://www.federalregister.gov/documents/2026/07/01/2026-13239/data-reporting-requirements-for-certain-event-contracts,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13239.pdf,True
2026-13238,"Soil Culture Solutions, LLC: Determination of Nonregulated Status of HLB-Resistant Carrizo Citrange Rootstock (CarriCea T1)",Notice,Notice.,2026-07-01,,,Agriculture Department; Animal and Plant Health Inspection Service,Docket No. APHIS-2025-1067,https://www.federalregister.gov/documents/2026/07/01/2026-13238/soil-culture-solutions-llc-determination-of-nonregulated-status-of-hlb-resistant-carrizo-citrange,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13238.pdf,True
2026-13237,Agency Information Collection Activities: Requests for Comments; Clearance of a Renewed Approval of Information Collection: Flight and Duty Limitations and Rest RequirementsFlightcrew Members,Notice,Notice and request for comments.,2026-07-01,,2026-07-31,Transportation Department; Federal Aviation Administration,Docket No. FAA-2025-5634,https://www.federalregister.gov/documents/2026/07/01/2026-13237/agency-information-collection-activities-requests-for-comments-clearance-of-a-renewed-approval-of,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13237.pdf,True
2026-13236,Agency Information Collection Activities: Requests for Comments; Clearance of a New Approval of Information Collection: Generic Clearance for FAA Aviation Workforce and Education DivisionCorrection,Notice,Notice and request for comments; correction.,2026-07-01,,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-6740,https://www.federalregister.gov/documents/2026/07/01/2026-13236/agency-information-collection-activities-requests-for-comments-clearance-of-a-new-approval-of,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13236.pdf,True
2026-13235,Public Inquiry,Notice,Notice.,2026-07-01,,2026-08-31,Postal Regulatory Commission,Docket No. PI2020-1; Order No. 9625,https://www.federalregister.gov/documents/2026/07/01/2026-13235/public-inquiry,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13235.pdf,True
2026-13234,"Consolidated Tape Association; Order Approving the Fortieth Substantive Amendment to the Second Restatement of the CTA Plan and Thirty-First Substantive Amendment to the Restated CQ Plan, as Modified by Amendment No. 1 Thereto",Notice,,2026-07-01,,,Securities and Exchange Commission,Release No. 34-105779; File No. SR-CTA/CQ-2026-01,https://www.federalregister.gov/documents/2026/07/01/2026-13234/consolidated-tape-association-order-approving-the-fortieth-substantive-amendment-to-the-second,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13234.pdf,True
2026-13233,"Self-Regulatory Organizations; Cboe Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Update Its Fees Schedule in Connection With the Exchange's Plans To List and Trade Binary Options That Overlie the Mini-S&P 500 Index",Notice,,2026-07-01,,,Securities and Exchange Commission,Release No. 34-105784; File No. SR-CBOE-2026-056,https://www.federalregister.gov/documents/2026/07/01/2026-13233/self-regulatory-organizations-cboe-exchange-inc-notice-of-filing-and-immediate-effectiveness-of-a,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13233.pdf,True
2026-13232,Endangered Species; File No. 29126,Notice,Notice; receipt of application.,2026-07-01,,2026-07-31,Commerce Department; National Oceanic and Atmospheric Administration,RTID 0648-XF811,https://www.federalregister.gov/documents/2026/07/01/2026-13232/endangered-species-file-no-29126,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13232.pdf,True
2026-13231,Self-Regulatory Organizations; Investors Exchange LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Provide That the Exchange Will Identify Priority Customer Interest on Its Order Book Through OPRA and Its Proprietary Market Data Feeds,Notice,,2026-07-01,,,Securities and Exchange Commission,Release No. 34-105788; File No. SR-IEX-2026-18,https://www.federalregister.gov/documents/2026/07/01/2026-13231/self-regulatory-organizations-investors-exchange-llc-notice-of-filing-and-immediate-effectiveness-of,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13231.pdf,True
2026-13230,Agency Information Collection Activities; Submission for OMB Review; Comment Request; Loans to Plan Participants and Beneficiaries Who Are Parties in Interest With Respect to the Plan Regulation,Notice,Notice of availability; request for comments.,2026-07-01,,2026-07-31,Labor Department,,https://www.federalregister.gov/documents/2026/07/01/2026-13230/agency-information-collection-activities-submission-for-omb-review-comment-request-loans-to-plan,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13230.pdf,True
2026-13228,Petition for Modification of Application of Existing Mandatory Safety Standards,Notice,Notice.,2026-07-01,,2026-07-31,Labor Department; Mine Safety and Health Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13228/petition-for-modification-of-application-of-existing-mandatory-safety-standards,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13228.pdf,True
2026-13227,Petition for Modification of Application of Existing Mandatory Safety Standards,Notice,Notice.,2026-07-01,,2026-07-31,Labor Department; Mine Safety and Health Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13227/petition-for-modification-of-application-of-existing-mandatory-safety-standards,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13227.pdf,True
2026-13226,Petition for Modification of Application of Existing Mandatory Safety Standards,Notice,Notice.,2026-07-01,,2026-07-31,Labor Department; Mine Safety and Health Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13226/petition-for-modification-of-application-of-existing-mandatory-safety-standards,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13226.pdf,True
2026-13225,"Self-Regulatory Organizations; Nasdaq MRX, LLC; Notice of Filing of Amendment No. 1 and Order Granting Accelerated Approval of a Proposed Rule Change, as Modified and Superseded by Amendment No. 1, To Adopt Extended Trading Hours for Eligible Equity and Index Options",Notice,,2026-07-01,,,Securities and Exchange Commission,Release No. 34-105785; File No. SR-MRX-2026-11,https://www.federalregister.gov/documents/2026/07/01/2026-13225/self-regulatory-organizations-nasdaq-mrx-llc-notice-of-filing-of-amendment-no-1-and-order-granting,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13225.pdf,True
2026-13224,Petition for Modification of Application of Existing Mandatory Safety Standards,Notice,Notice.,2026-07-01,,2026-07-31,Labor Department; Mine Safety and Health Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13224/petition-for-modification-of-application-of-existing-mandatory-safety-standards,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13224.pdf,True
2026-13223,Petition for Modification of Application of Existing Mandatory Safety Standards,Notice,Notice.,2026-07-01,,2026-07-31,Labor Department; Mine Safety and Health Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13223/petition-for-modification-of-application-of-existing-mandatory-safety-standards,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13223.pdf,True
2026-13222,"Product ChangePriority Mail, and USPS Ground Advantage Negotiated Service Agreements",Notice,Notice.,2026-07-01,,,Postal Service,,https://www.federalregister.gov/documents/2026/07/01/2026-13222/product-changepriority-mail-and-usps-ground-advantage-negotiated-service-agreements,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13222.pdf,True
2026-13221,Agency Information Collection Activities: Proposed Collection: Public Comment Request; Information Collection Request Title: National Marrow Donor Program Patient Support Center Survey,Notice,Notice.,2026-07-01,,2026-08-31,Health and Human Services Department; Health Resources and Services Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13221/agency-information-collection-activities-proposed-collection-public-comment-request-information,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13221.pdf,True
2026-13220,Information Collections Being Submitted for Review and Approval to Office of Management and Budget,Notice,Notice; request for comments.,2026-07-01,,2026-07-31,Federal Communications Commission,"OMB 3060-0208, OMB 3060-0250, OMB 3060-1039, OMB 3060-1167, OMB 3060- 1316; FR ID 353230",https://www.federalregister.gov/documents/2026/07/01/2026-13220/information-collections-being-submitted-for-review-and-approval-to-office-of-management-and-budget,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13220.pdf,True
2026-13215,"Joint Industry Plan; Order Approving the Second Amendment to the National Market System Plan Regarding Consolidated Equity Market Data, as Amended by Amendment No. 1 and Modified by the Commission, To Adopt a Fee Schedule",Notice,,2026-07-01,,,Securities and Exchange Commission,Release No. 34-105778; File No. 4-757,https://www.federalregister.gov/documents/2026/07/01/2026-13215/joint-industry-plan-order-approving-the-second-amendment-to-the-national-market-system-plan,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13215.pdf,True
2026-13213,Information Collection Being Reviewed by the Federal Communications Commission,Notice,Notice; request for comments.,2026-07-01,,2026-08-31,Federal Communications Commission,OMB 3060-1319; FR ID 352685,https://www.federalregister.gov/documents/2026/07/01/2026-13213/information-collection-being-reviewed-by-the-federal-communications-commission,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13213.pdf,True
2026-13212,"Joint Industry Plan; Order Approving the Fifty-Fifth Amendment to the Joint Self-Regulatory Organization Plan Governing the Collection, Consolidation and Dissemination of Quotation and Transaction Information for Nasdaq-Listed Securities Traded on Exchanges on an Unlisted Trading Privileges Basis, as Modified by Amendment No. 1 Thereto",Notice,,2026-07-01,,,Securities and Exchange Commission,Release No. 34-105780; File No. S7-24-89,https://www.federalregister.gov/documents/2026/07/01/2026-13212/joint-industry-plan-order-approving-the-fifty-fifth-amendment-to-the-joint-self-regulatory,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13212.pdf,True
